#{"t_start": 1768083746.3892963, "env_id": "LunarLander-v3"}
r,l,t
-219.189779,314,40.492772
-179.232076,221,40.580683
-21.706674,180,40.652732
-52.665361,244,40.756853
10.956378,234,40.850711
-94.106516,370,41.824115
-144.882792,338,41.955057
-63.484507,263,42.060473
-29.678677,260,42.17204
-36.806445,230,42.305047
-99.734837,373,42.488568
-110.385697,421,43.693478
-91.55371,316,43.820163
82.969049,1000,44.268749
-84.675003,204,44.34962
-176.25134,706,45.493744
46.630761,153,45.5582
0.828135,211,45.647863
95.599088,1000,46.097853
-104.289605,351,46.235826
-16.940432,338,47.272272
36.716881,1000,47.73069
-37.098333,392,47.903441
-44.596625,289,48.030254
49.434347,1000,49.329666
73.283641,1000,49.745933
-55.465249,396,50.788773
96.298316,1000,51.261055
106.51183,1000,52.573153
-46.108178,217,52.666927
-59.851549,225,52.773273
94.058629,1000,53.213789
70.470276,1000,54.51072
60.567871,1000,54.931424
62.912623,1000,56.207609
-90.256528,398,56.376174
-149.820268,197,56.464977
-0.424961,455,56.638708
27.043898,428,56.815244
-64.890119,427,57.85183
48.757542,1000,58.25779
30.488094,1000,59.713259
29.181903,1000,60.221588
66.702169,1000,62.096488
-116.91266,570,62.409306
-114.229789,611,62.695634
112.787544,1000,64.49956
-212.309594,932,64.966542
-7.478831,1000,66.693273
-22.464263,493,66.932838
-53.554031,1000,67.442893
57.19549,1000,69.093148
57.246176,1000,69.569776
-280.983477,1000,71.131149
-55.908715,1000,71.579764
30.117937,1000,73.228615
-84.41587,643,73.5564
-76.009769,1000,75.317915
84.592711,1000,75.845776
110.439555,1000,77.449277
44.917593,1000,77.935561
-110.8868,796,78.282468
12.545219,1000,79.915535
-22.484827,1000,80.349993
120.9946,961,81.670792
21.057675,1000,82.092098
43.179699,1000,83.465275
72.272104,1000,83.905999
51.566476,1000,85.234812
127.246119,864,85.600318
-123.411069,922,86.883013
-68.449303,642,87.129748
73.473703,1000,88.443943
-40.385668,1000,88.861333
86.285237,1000,90.255965
-67.972793,1000,90.714772
-45.053742,1000,92.051385
-121.493953,655,92.315236
58.501584,1000,92.726498
9.847897,1000,94.04804
42.552811,1000,94.44921
-6.512199,1000,95.791632
