#{"t_start": 1768085813.8308547, "env_id": "LunarLander-v3"}
r,l,t
221.092051,467,51.586146
254.493522,428,51.956172
215.479617,485,52.377183
-16.075091,250,52.58662
-39.272485,370,52.900561
235.100684,456,53.271797
-80.313224,302,53.510721
-25.915827,329,53.770596
206.334758,369,54.095306
209.410846,599,54.595783
-51.152474,253,54.792302
-36.931123,267,55.011694
-85.365783,389,55.361886
144.394656,929,56.126215
-77.647591,340,56.396952
200.503826,408,56.718335
-95.883036,334,56.977509
-34.635269,238,57.197759
-51.118144,308,57.431116
241.43939,417,57.778328
-24.934361,216,57.959591
-65.891233,341,58.228751
203.636793,444,58.583268
5.18767,220,58.771272
-51.906667,225,58.952007
-68.714194,317,59.212324
-44.641968,218,59.396624
-35.715899,305,59.638871
143.807301,334,59.915839
30.764724,280,60.150175
-82.358785,248,60.350247
-50.673031,440,60.700734
-46.395381,376,61.02024
-94.394793,210,61.196366
-66.614994,250,61.402391
-106.074751,443,61.755167
30.306716,232,61.946609
-5.560897,223,62.12923
-27.254803,249,62.325278
-92.883233,355,62.620429
-71.842636,243,62.830664
-2.994762,253,63.038182
-50.086445,62,63.096016
-50.904143,216,63.269043
-110.919059,95,63.341391
-22.196427,225,63.524734
-24.108577,306,63.786211
-41.756132,236,63.987918
-28.245137,186,64.150515
-57.777529,280,64.395147
201.977658,414,64.738723
-10.674751,223,64.914278
-43.303297,280,65.135633
-39.517329,337,65.416445
28.737496,215,65.587656
-80.022959,345,65.860358
-53.59803,300,66.103
223.003421,319,66.39977
24.309321,225,66.609575
46.513721,280,66.851508
-64.512372,202,67.032428
-69.22139,268,67.279783
-22.244129,286,67.528984
-56.630546,252,67.733381
262.300859,346,68.013251
5.681011,180,68.155781
-75.510021,261,68.361647
-10.028129,195,68.515503
-49.238369,267,68.722263
-24.228636,225,68.911446
-49.163796,227,69.08607
5.96992,286,69.316402
1.122755,241,69.508096
19.526789,232,69.701234
-64.774527,291,69.935825
213.340195,533,70.368011
-39.988124,205,70.533426
200.153976,475,70.946369
-57.140948,107,71.02933
-9.204381,275,71.24612
-38.119825,293,71.4796
-52.714753,256,71.679816
-61.451252,404,72.001946
4.269318,254,72.203866
203.039418,475,72.606857
21.226865,249,72.799075
195.022216,693,73.346037
-76.640174,337,73.606693
-68.259313,315,73.86424
8.894295,209,74.033674
210.263805,531,74.478445
-80.88374,303,74.722161
3.789626,247,74.930038
259.700243,372,75.269637
-60.615813,247,75.469659
-36.832556,232,75.656463
192.222248,441,76.017636
246.161719,311,76.282795
-89.174249,119,76.399247
-51.171417,374,76.695275
251.398202,367,76.992578
232.470957,374,77.293238
-78.270585,242,77.515182
-60.068676,250,77.713735
190.384854,544,78.210749
34.224262,227,78.435749
-4.96772,193,78.598465
-40.242157,228,78.790906
217.421506,493,79.189864
13.063672,245,79.388332
-43.202129,232,79.574206
242.526084,431,79.915521
235.898147,460,80.285089
233.745333,583,80.748726
222.795064,367,81.050772
265.973601,296,81.278114
-65.837194,257,81.48678
19.196113,234,81.673464
244.619856,338,81.945575
3.191009,269,82.153479
205.399065,519,82.603992
-26.945154,248,82.811981
220.736965,403,83.140103
208.666599,491,83.519139
240.579831,359,83.804881
273.307014,295,84.041409
223.248456,565,84.493367
20.235222,198,84.647338
-65.770063,245,84.855464
227.959128,443,85.2103
-54.42759,228,85.393268
180.901774,564,85.839536
4.267437,229,86.042912
181.13199,742,86.679024
297.12864,294,86.919446
-33.204253,277,87.170048
265.522382,422,87.518796
205.170562,549,87.980034
284.466669,429,88.341765
-92.135283,452,88.793281
200.005748,498,89.264942
14.883903,196,89.444503
172.514727,906,90.188392
277.020421,387,90.499024
211.613863,552,90.934101
150.847591,587,91.400301
23.352198,239,91.58745
49.227189,230,91.765988
170.932805,783,92.384012
137.158786,660,93.006599
191.061872,538,93.521765
230.528956,422,93.890223
213.53303,475,94.27087
177.452031,573,94.755879
249.554528,463,95.135541
193.957219,557,95.605562
14.361399,257,95.81412
257.9473,402,96.142228
217.649798,575,96.612597
280.974109,354,96.909572
244.528779,450,97.277025
225.979705,461,97.64678
227.371249,518,98.07251
151.561296,597,98.623058
195.862374,487,99.019233
235.540887,502,99.437129
204.792589,500,99.852712
258.46228,547,100.317889
147.719898,782,100.960445
158.31901,740,101.561447
209.56242,858,102.27616
164.389842,773,102.950064
259.552749,459,103.405246
195.12095,594,103.988631
171.578211,637,104.512836
273.017081,378,104.843569
127.591021,692,105.464633
196.999054,673,106.021539
221.471188,558,106.481626
31.604361,265,106.707842
277.646636,375,107.014663
39.372263,250,107.219127
246.801342,410,107.539843
4.256335,290,107.771678
226.499326,493,108.196062
212.59198,596,108.682142
196.580591,648,109.206306
254.102098,369,109.50376
200.356569,552,109.946973
222.585449,686,110.520919
204.670781,495,110.920569
168.214112,613,111.431484
175.445249,525,111.840286
214.353611,585,112.310081
71.927812,961,113.086799
176.817356,666,113.620268
235.827795,476,114.014951
203.086091,546,114.448937
229.829583,475,114.859019
-169.474572,1000,115.791228
192.968787,493,116.194613
265.655236,379,116.523806
223.737441,478,116.95179
263.976656,350,117.258555
223.814022,455,117.625779
272.130943,332,117.927125
184.104222,493,118.317524
205.123414,388,118.623212
211.203068,470,119.005948
248.81333,430,119.375779
223.276703,488,119.772648
203.346857,505,120.217891
262.776036,305,120.468978
280.439255,440,120.825627
232.101366,458,121.188448
240.346557,402,121.517368
-31.40538,349,121.830496
152.831296,704,122.398528
271.422187,324,122.655437
-85.903063,170,122.792012
234.705454,456,123.173043
237.306341,480,123.571321
225.443486,487,123.969073
177.478381,443,124.3656
167.974231,423,124.708694
232.089779,396,125.05817
180.225823,553,125.543898
-10.663049,285,125.805706
-140.934987,157,125.939185
-139.682783,233,126.131429
135.151756,622,126.703574
194.36728,551,127.204335
293.259095,309,127.490288
-93.96209,435,127.905674
256.899162,344,128.207343
-53.456396,242,128.397995
240.398783,383,128.706934
156.817914,680,129.243895
232.597836,307,129.478427
128.383741,764,130.104316
-78.872841,158,130.229901
225.440799,392,130.554256
-133.406684,232,130.73071
230.420046,345,131.002686
-142.434022,115,131.092058
105.026288,853,131.784491
-115.750253,146,131.899922
158.201413,399,132.257543
-167.13291,149,132.374763
206.078765,556,132.831444
-23.969674,236,133.018206
-95.908784,146,133.132937
-119.424612,254,133.361727
-36.287818,289,133.596902
-98.535985,160,133.725446
-121.610361,130,133.824889
221.989319,370,134.127686
192.57721,322,134.394917
-144.984531,162,134.518119
-187.35184,371,134.817993
-76.773339,260,135.023873
273.360468,321,135.278419
188.394194,461,135.641787
232.903798,372,135.938947
74.518005,1000,136.747558
164.84199,563,137.285968
212.924711,337,137.623286
-136.531814,174,137.762434
184.682202,329,138.079293
-143.625641,136,138.188021
-136.584783,109,138.284801
-121.36674,203,138.454869
-122.675068,165,138.59792
-147.449431,287,138.862691
209.171925,313,139.149752
-141.460845,161,139.283682
245.759523,362,139.570265
157.333908,499,139.973924
-16.930178,257,140.179553
-110.255235,175,140.318167
-29.136053,233,140.502575
-127.959785,124,140.6061
-172.555092,368,140.894391
-120.261115,177,141.032967
-132.477728,528,141.454387
-136.324381,398,141.768259
198.256923,641,142.283285
-44.075332,329,142.539672
-21.758936,240,142.725271
154.124547,541,143.156234
-82.027732,195,143.324836
139.024098,810,143.986081
-167.636358,364,144.271528
-101.867747,244,144.465032
-129.208434,244,144.655757
-91.268554,545,145.078871
-124.45287,263,145.285837
-141.226434,142,145.437852
-151.309768,393,145.746849
-89.522544,585,146.215629
242.626819,290,146.458789
133.276245,878,147.1527
-108.292459,321,147.426848
-89.84916,293,147.670777
-83.22054,731,148.237292
182.445341,526,148.707298
111.828506,670,149.345448
241.773987,345,149.631024
153.308246,403,149.9902
202.690178,489,150.426035
121.974758,640,150.993422
258.944052,317,151.253611
-85.333682,275,151.470583
-40.134629,208,151.638641
-57.127524,322,151.89344
222.397517,479,152.288602
194.98876,609,152.789835
239.092644,329,153.059786
124.863979,708,153.654347
99.43042,702,154.244588
191.190199,418,154.573636
155.295888,506,154.996675
167.19077,931,155.761058
230.465891,408,156.096433
138.278429,489,156.497693
-96.616757,501,156.929752
-68.33439,641,157.466674
240.172739,359,157.781481
198.406987,633,158.290196
219.683996,307,158.548361
169.595592,579,159.008861
134.655952,622,159.506816
205.139401,981,160.316589
192.742098,564,160.822128
194.09059,569,161.314742
258.621407,377,161.645337
-68.349865,386,161.963066
74.321686,978,162.812024
188.605171,512,163.22219
128.077543,829,163.888549
267.366138,292,164.113556
248.349415,451,164.46675
215.902524,409,164.782342
165.169518,777,165.428071
128.982038,935,166.188996
149.555506,955,166.96057
7.520879,1000,167.780526
131.978573,919,168.528188
-152.748156,768,169.132792
248.214155,316,169.398443
250.126921,334,169.661239
132.621563,1000,170.464387
245.090566,337,170.725072
-154.85239,937,171.464683
253.281285,339,171.737156
232.615905,441,172.124053
276.182942,346,172.430616
213.413726,502,172.878658
-48.792534,1000,173.782701
193.506292,602,174.344823
202.196757,497,174.782919
155.666154,664,175.345097
185.83667,564,175.803114
204.607321,426,176.184459
-29.673249,456,176.561471
201.760906,502,176.967063
222.958239,482,177.340008
133.579096,898,178.083902
223.051288,451,178.470685
-50.828329,1000,179.259275
185.538163,610,179.742993
57.808644,1000,180.54713
257.874783,444,180.908111
185.146235,510,181.317315
198.260779,526,181.718735
207.413816,399,182.038642
232.778838,397,182.358218
242.103844,387,182.689666
-76.042976,525,183.124754
227.007165,365,183.414627
197.367959,483,183.801958
233.427004,455,184.247956
219.131962,590,184.766433
202.010808,637,185.376832
225.900286,477,185.75875
199.862467,638,186.31585
-11.464653,384,186.661641
194.336186,394,187.008612
229.092276,420,187.367584
1.303253,367,187.684698
225.838667,410,188.023584
206.856376,607,188.529795
190.378805,534,188.968367
198.472686,690,189.51211
231.514461,470,189.901412
221.130018,425,190.247302
260.995502,396,190.569993
234.128532,386,190.878109
76.755439,1000,191.713871
246.302928,533,192.13847
222.30926,343,192.404245
211.966745,487,192.785279
230.876698,440,193.12422
263.119819,334,193.390473
232.268477,375,193.693285
155.714756,659,194.229663
-56.887484,457,194.583759
-12.731013,332,194.846559
236.046964,394,195.164831
-38.914078,409,195.490193
173.35407,496,195.87319
216.592541,390,196.175244
177.628645,544,196.62882
238.72505,382,196.988343
282.627263,332,197.269626
167.52821,887,198.09752
81.618934,914,198.878043
207.939269,687,199.494109
284.465853,321,199.753004
188.501413,432,200.105228
238.296445,394,200.413872
285.680095,337,200.686494
243.25026,373,200.99453
200.106414,471,201.359623
170.093489,367,201.683796
245.549156,355,201.976895
-9.973329,350,202.245776
173.691262,605,202.71774
280.379236,420,203.049687
204.87318,499,203.43817
204.415881,457,203.796994
197.410168,421,204.146327
-23.865317,381,204.466408
-38.38079,572,204.915569
223.465208,449,205.259084
215.51471,369,205.553743
237.568519,515,205.962229
-89.436401,558,206.415734
233.082871,457,206.768543
-118.531366,567,207.291622
188.896363,660,207.853755
251.72579,354,208.152728
149.407498,685,208.699984
194.416795,496,209.102289
206.89521,534,209.518239
274.561601,329,209.809946
239.442764,411,210.147218
211.933315,430,210.488834
216.585566,612,211.029478
177.96507,495,211.41542
146.741131,838,212.056394
263.08795,365,212.355096
-13.006127,386,212.645934
238.010242,383,212.960966
219.012525,365,213.244441
225.669884,445,213.583131
254.464537,306,213.839273
152.568486,684,214.39877
257.550626,366,214.677355
193.844435,427,215.017687
246.365301,397,215.336511
228.721195,379,215.641632
210.523205,439,216.008862
243.325157,489,216.484283
237.446681,428,216.817047
183.429306,611,217.35357
-15.168659,333,217.650193
221.993165,442,218.10026
