#{"t_start": 1768084635.449265, "env_id": "LunarLander-v3"}
r,l,t
-34.655413,108,35.342099
12.955385,223,35.513738
-133.703651,243,35.675452
-157.81938,190,35.79254
-43.427652,133,35.873967
24.659871,140,35.967432
-19.546386,134,36.055872
-57.232456,192,36.172639
-97.300965,179,36.278852
-46.07168,119,36.35127
-38.655835,130,36.431463
-116.339923,108,36.49948
-38.398134,217,36.651232
-212.374187,183,37.827465
-188.374589,166,37.934561
-301.387621,174,38.042932
-156.07514,161,38.139519
-32.368261,192,38.258102
-33.860704,139,38.342624
-112.242816,137,38.445982
-62.069308,152,38.536376
-30.690741,165,38.636195
-49.565426,170,38.740113
-41.347977,178,38.855421
-35.807858,160,38.954249
-205.152973,225,40.073489
-159.750517,209,40.235224
-11.761999,147,40.32175
-37.984531,160,40.417256
-3.127918,147,40.504368
-38.751747,143,40.59404
-21.38868,139,40.690287
-56.784377,151,40.783939
-12.648511,132,40.864182
8.856525,143,40.951216
-174.630206,173,41.077952
16.061311,144,41.166025
-25.914467,177,41.273288
40.911815,163,42.407824
-125.641107,210,42.536066
-191.933064,239,42.678077
-75.1308,473,43.010532
-61.817096,172,43.119758
-164.677289,220,43.254023
-83.29544,185,43.363096
-261.018604,275,43.545006
-299.819845,184,44.706621
26.11929,160,44.864646
-31.11791,258,45.066353
-211.191577,230,45.220068
23.156367,185,45.357618
-151.957836,212,45.495017
-247.745716,201,45.629423
-274.964854,209,45.795331
-152.915745,192,45.915862
-217.714777,193,46.03561
-291.534481,216,47.187219
-44.527692,201,47.355167
-216.058239,215,47.48709
-121.916172,219,47.620885
-57.538335,247,47.777992
-52.206788,165,47.88188
-205.603593,177,47.99924
-249.784587,268,48.175697
-352.794865,178,48.28732
-158.644379,156,48.384524
-147.369178,251,49.582814
-248.184024,202,49.725339
-12.213889,213,49.87458
-217.77694,189,49.991917
-117.54536,194,50.1114
-176.841496,270,50.272437
-280.043449,198,50.390167
-112.671054,307,50.597341
-275.990836,231,50.733515
-5.830342,157,50.835869
-76.08782,213,51.975749
-37.512963,182,52.113045
-192.268027,273,52.276078
-182.734825,187,52.387595
-51.477252,538,52.711513
121.640439,1000,54.33655
-143.455045,230,54.506391
4.236961,205,54.636396
-269.717413,287,54.811597
-178.688747,337,55.0165
-171.258275,209,55.144003
-182.602129,168,55.255825
-56.522043,242,55.416464
-48.736914,195,56.595294
0.792777,201,56.721617
-135.317645,201,56.851693
-116.618203,224,57.002954
-20.17313,272,57.170149
-258.183217,269,57.331704
-53.201244,177,57.455029
-76.041638,266,57.619309
-268.668998,191,57.733
-204.063513,225,58.964828
-38.876563,178,59.10391
-28.899625,306,59.298165
-73.774246,283,59.469549
20.145362,196,59.605141
-80.15801,164,59.71369
37.362626,223,59.848298
118.455855,1000,61.542105
-14.580362,210,61.674511
6.16742,177,61.785157
-267.003759,159,61.88362
-2.706968,138,61.967712
-21.126795,248,62.117883
-32.987838,175,62.225303
21.345635,154,62.318881
-134.647922,176,62.425347
7.739117,138,62.509663
-36.747535,216,63.61095
-118.483081,283,63.785516
-34.346299,196,63.908839
-52.738324,197,64.026933
146.084312,1000,64.635079
-14.85374,180,64.741623
-111.227855,227,65.914591
-34.024328,274,66.081541
-9.305782,135,66.165586
-31.137457,99,66.253336
-88.23649,198,66.392866
-31.213251,228,66.534659
43.874906,146,66.622485
-39.214657,179,66.738723
-11.058074,156,66.847544
-35.650177,154,66.942739
7.92018,140,67.025391
-4.042395,173,68.227324
-38.0614,144,68.316274
-0.981477,191,68.434958
45.223674,153,68.534722
-144.514762,158,68.631577
-51.35132,221,68.762704
-43.980759,237,68.914768
-90.227332,302,69.103585
28.207642,211,69.230533
-23.179006,193,69.35
-89.339418,177,69.459777
7.60238,263,70.66299
-140.576849,192,70.784351
-38.26991,168,70.890304
-22.490557,224,71.026783
-97.902132,350,71.235334
-11.222949,129,71.313676
-42.23862,175,71.423701
3.297677,196,71.54945
38.532675,237,71.694429
-51.849738,191,72.849622
79.234167,1000,73.471019
-27.508354,275,73.633842
-72.135452,218,73.765229
17.361248,207,73.901307
65.189041,1000,75.521884
-127.543069,255,75.685081
