#{"t_start": 1768085452.1975608, "env_id": "LunarLander-v3"}
r,l,t
-255.964723,191,24.061661
-85.850411,138,24.118908
-247.88246,215,24.198455
-309.637826,201,24.274861
-158.536032,123,24.322536
-88.854427,164,24.383602
-104.231705,141,24.436443
-72.475033,110,24.47817
-194.948748,168,25.497841
-250.037037,168,25.568515
-202.544002,175,25.636804
113.755234,1000,26.050496
10.402533,122,26.099314
-316.061779,202,26.172205
42.431164,208,26.250542
-54.320986,162,27.264616
-19.277895,101,27.30611
-84.342757,214,27.415954
-346.800769,228,27.509189
-10.17463,148,27.567121
-51.412969,115,27.610951
-26.735937,130,27.663702
-26.362221,136,27.71979
-56.386531,240,27.817596
-152.491141,104,27.856781
-68.301425,184,27.926787
-21.604173,126,27.980006
-149.198254,110,28.030721
-6.180029,107,29.04988
-39.239062,162,29.116574
-90.766065,212,29.197639
-101.399572,196,29.304044
-191.406071,201,29.378898
-76.435637,181,29.44772
-147.547694,215,29.5309
-191.036555,243,29.623394
-52.488498,102,29.661298
-68.2168,286,29.770944
-72.529324,93,29.806806
-94.879517,155,30.819514
-336.548605,145,30.875478
-162.18849,270,30.979724
70.7073,1000,31.398711
-43.232658,172,31.472432
-47.031851,1000,32.895736
-40.96649,180,32.964559
-220.324382,220,33.07015
-68.613355,131,33.156643
-66.252093,207,33.258554
-93.206978,164,33.325916
-82.786231,133,33.376729
-279.19819,227,33.462527
-202.492782,200,33.537538
-246.582102,241,34.610355
-84.683247,145,34.679199
-6.804424,188,34.749474
-110.270023,189,34.824832
-93.045165,153,34.88516
-210.961106,217,34.967916
15.428549,204,35.046376
4.105552,241,35.141851
-40.337072,265,35.2481
102.686715,1000,36.645383
-17.60315,198,36.72428
6.274277,168,36.791604
-66.141134,218,36.877947
-17.722069,252,36.976051
-2.791506,240,37.067914
-134.135155,670,38.300742
-47.479458,203,38.385045
3.696746,194,38.457304
-302.732093,222,38.544564
-259.970899,163,38.607693
-457.356755,194,38.681518
-44.762457,234,38.769595
-219.628301,239,38.859703
-211.933302,329,39.927361
32.909409,1000,40.332562
-244.962238,660,40.586102
-287.504762,193,41.620844
-140.185863,339,41.75336
-46.39628,186,41.825431
1.178645,185,41.906445
-56.29639,292,42.02015
-145.512032,108,42.061491
20.806651,187,42.132322
-143.474297,224,42.215297
-33.639243,131,42.26363
-167.96292,235,42.352746
-24.935455,210,43.449817
-0.211831,171,43.515981
-160.899487,203,43.614359
13.915994,190,43.686733
-101.104494,319,43.816143
-307.375909,187,43.886433
-76.312854,161,43.950918
-219.504372,163,44.012904
-357.478222,200,44.087156
-105.550674,246,44.185807
-55.632666,164,45.226127
-77.282736,243,45.327493
-25.779457,297,45.458043
-87.438823,186,45.530293
-51.381099,139,45.582344
-30.703869,185,45.652841
-20.465765,141,45.705347
-29.085751,200,45.785089
-66.195776,205,45.862639
18.975456,241,45.95523
2.295814,140,46.011365
0.223489,129,46.996704
-80.839614,249,47.095565
-36.369472,206,47.205733
-170.13846,212,47.289504
173.543233,410,47.451045
-21.491188,172,47.519165
-236.811755,226,47.604464
-131.108784,258,47.702523
88.256607,1000,49.111236
-48.385934,185,49.19114
-33.546652,253,49.295157
15.047048,201,49.384107
-15.924199,234,49.475493
-10.46894,244,49.581177
-5.420483,181,50.618391
-43.800194,261,50.71933
-164.129983,238,50.825494
-34.491225,244,50.920014
9.995194,134,50.978736
-82.880703,162,51.042569
89.593774,1000,52.425863
-6.649187,268,52.531621
-5.53419,222,52.619158
-6.296818,187,52.694164
-10.315096,305,52.839896
80.05613,1000,53.242712
-61.317581,367,54.391455
-24.788408,216,54.474967
-39.597591,340,54.609257
-26.725696,397,54.762689
-242.531753,285,54.871541
2.339358,304,54.986518
-62.064603,248,56.020902
-38.522621,457,56.200003
-36.123681,402,56.378619
-176.756067,329,56.505553
12.073678,311,56.623147
-52.534915,253,56.719009
-70.183993,440,57.868076
-78.041335,370,58.018511
26.834696,313,58.164627
-139.237214,469,58.346089
98.547433,1000,59.753578
103.273886,1000,60.170133
-68.390935,611,60.4066
-42.530467,319,61.524684
-68.699472,579,61.76096
-128.761561,572,61.990123
-196.636324,896,63.333446
-90.378722,551,63.575201
-114.22151,698,63.846479
-52.091465,523,64.053583
84.174731,1000,65.449342
66.620601,1000,65.85293
-86.319114,525,67.057018
95.109545,1000,67.471379
130.787454,1000,68.918125
-57.821503,1000,69.301944
67.807496,1000,70.743397
71.482585,1000,71.145136
-60.853256,500,71.33599
210.015648,758,72.601498
158.462785,914,72.970238
21.076368,900,74.263731
101.521191,781,74.588511
157.25237,654,74.841891
228.012451,496,76.009643
126.12651,962,76.411806
252.03647,512,76.602966
-105.58437,546,77.796314
263.827495,419,77.979108
-105.489135,344,78.127911
170.67719,445,78.305079
-95.907035,397,78.465478
157.766315,702,79.732833
-207.687545,788,80.073978
-96.132875,508,80.276709
-56.826727,317,80.404413
-107.559815,550,81.582582
21.064974,341,81.732782
31.356475,1000,82.135336
70.581194,892,83.508233
211.508462,678,83.778024
-183.348415,687,84.044716
233.402524,516,85.228217
228.64442,470,85.41696
115.019096,847,85.748527
167.293184,705,86.978345
98.218028,816,87.309424
185.093308,746,87.594424
130.165995,898,88.946542
140.68425,660,89.202646
138.338626,653,90.420688
-116.583528,536,90.643503
152.074612,567,90.86909
-96.398516,475,91.056541
192.718973,669,92.258585
-102.107437,444,92.453922
144.373024,603,92.696585
117.548809,604,92.931671
-90.696825,413,94.062189
-96.63796,522,94.289753
123.032542,699,94.560996
-105.031886,551,95.729005
-175.251092,899,96.100822
181.84405,622,96.332391
76.928489,1000,97.712057
198.002086,584,97.927428
-46.850438,556,98.142097
-108.073166,524,99.300944
-142.657006,535,99.507677
-88.04245,641,99.775056
175.512817,541,99.985117
140.217245,639,101.208614
192.962362,998,101.619314
116.764791,629,102.834213
-114.144244,442,103.018067
-60.284587,458,103.199445
212.240443,501,103.401738
198.358875,846,104.680636
-53.021157,379,104.829434
43.240371,1000,105.24773
212.32559,530,106.427732
184.989982,479,106.613036
171.909112,550,106.845294
-139.043932,535,107.05983
145.887784,685,108.311673
183.170596,476,108.511943
142.465482,598,108.741363
136.127702,593,108.965347
238.88477,423,110.09655
156.890587,811,110.422034
194.941087,470,110.601549
-61.400921,393,111.704891
204.612932,412,111.883655
-11.592078,333,112.007328
69.422482,1000,112.416908
217.953746,447,113.550739
-11.882398,363,113.721872
217.540684,456,113.899707
242.352183,508,114.097948
141.102096,591,115.280079
253.15874,513,115.511217
-9.282657,294,115.629009
213.150476,445,115.803676
175.676902,413,115.964013
191.915442,444,117.081846
212.17854,557,117.320983
206.110494,410,117.480127
177.182542,477,117.66325
168.022056,593,118.854276
-45.817623,401,119.0291
180.839006,510,119.222912
158.539277,519,119.430171
-77.323509,352,119.567254
207.388174,512,120.745617
195.3533,505,120.961996
173.413777,655,121.223569
187.526576,535,121.429574
-29.585184,332,122.524342
218.536679,411,122.698254
192.249808,475,122.88813
166.588466,428,123.04913
191.370884,528,124.202362
206.464923,493,124.419639
219.381426,447,124.59111
200.285505,600,124.829678
231.391352,510,125.980169
-10.450348,267,126.121816
196.842057,397,126.297523
226.689435,401,126.465489
184.004675,368,126.61057
208.868225,415,126.787873
-2.093449,389,127.961045
224.751682,486,128.200505
-8.974411,342,128.342316
157.725982,466,128.537288
236.193953,338,128.685895
218.827163,443,129.868359
189.754444,388,130.037208
240.089124,384,130.185424
201.594787,378,130.330769
205.927301,392,130.487748
157.570787,495,131.641507
185.077234,400,131.789853
188.541949,657,132.069144
105.050087,599,132.294245
181.938265,510,133.488953
136.608318,664,133.755136
-31.687284,313,133.881804
221.31149,500,134.096818
220.912438,360,135.185265
158.442711,582,135.40965
224.551788,406,135.591441
201.379234,437,135.755796
-24.582915,299,135.866681
184.744173,558,137.077921
173.375682,442,137.249335
-33.87826,324,137.379398
224.702829,417,137.547375
171.520224,489,138.741885
233.297923,431,138.928087
244.28478,485,139.110259
214.368072,388,139.2548
230.550593,481,139.433446
238.713631,410,140.602745
205.68369,387,140.763214
253.414695,308,140.884602
226.192748,450,141.058857
