#{"t_start": 1768084357.9020345, "env_id": "LunarLander-v3"}
r,l,t
-124.976453,101,13.917745
31.815615,121,13.993558
-82.330804,73,14.037154
-39.862695,125,14.108755
-81.468359,100,14.164844
-133.40033,80,14.212582
-38.037579,123,14.278646
-256.849978,100,14.338447
-146.400736,82,14.383561
-100.867431,130,14.46341
-86.359733,96,14.521861
-86.158124,112,14.583082
-209.780577,112,14.646529
-131.068893,82,14.695848
-124.8278,74,14.73778
-138.151668,76,14.780825
-106.829831,82,14.826383
-442.617188,105,14.887574
-97.671566,83,14.935667
-71.618767,113,15.00137
-186.177537,114,15.067248
-104.158651,128,15.141101
-105.834726,127,15.211262
-208.918839,115,15.277093
-61.988084,94,15.331044
-76.054323,84,15.383086
-60.704943,80,15.426586
-117.406516,138,15.504427
-138.365524,125,15.575008
-175.908207,115,15.644279
-55.786909,132,15.716846
-18.800163,138,15.797085
-128.170883,118,15.863266
-335.641917,131,15.938694
-128.759943,92,15.990528
-124.785457,119,16.056879
-93.957487,92,16.108058
-95.469066,132,16.193396
-124.515795,151,16.275512
-86.701221,91,16.327857
-116.783226,104,16.386455
-101.831392,69,16.426016
-23.418229,80,16.472314
-113.923307,123,16.54652
-82.457812,89,16.595412
-86.257268,79,16.643277
-111.882101,96,16.697551
-48.51662,103,16.756354
-115.211131,86,16.802975
-100.234485,74,16.846569
-262.003725,196,16.954534
-87.471651,109,17.017321
-63.04829,96,17.069943
-64.430468,135,17.145283
-64.550301,74,17.186899
-86.53932,94,17.238942
-93.220442,80,17.285459
-118.449617,102,17.345558
-91.191496,78,17.391349
-179.502326,111,17.453033
-84.17583,120,17.524496
-115.474181,103,17.585779
-74.287694,70,17.626842
-143.900464,114,17.689121
-215.088236,135,17.76479
-78.16958,91,17.820341
-113.019413,83,17.868599
-108.919389,152,17.952621
-321.491347,98,18.008339
-91.076064,88,18.05742
-37.330989,89,18.108859
-72.784413,69,18.146889
-145.169023,107,18.205072
-51.643114,111,18.270631
-113.632387,88,18.327731
-155.406735,98,18.385508
-28.731039,132,18.459924
-119.620303,107,18.525611
-22.146034,111,18.590825
-262.621978,84,18.637504
-87.812467,79,18.686096
-70.901853,149,18.770513
-38.591238,147,18.867333
-70.013904,141,18.954933
-96.486205,97,19.011007
-173.550219,75,19.053947
-76.766325,115,19.120463
-111.795279,162,19.212063
-39.490543,68,19.250655
-136.318484,120,19.322148
-64.304993,113,19.387756
-96.62027,92,19.438498
-135.095586,69,19.477586
-69.842138,100,19.539671
-78.849329,98,19.593826
-84.85692,88,19.642763
7.473921,135,19.718959
-202.311591,162,19.840888
-82.51994,87,19.888897
-78.823588,150,19.97495
-47.366055,123,20.047372
-113.57917,101,20.11029
-40.6742,70,20.147216
23.105174,91,20.199757
-49.360755,129,20.266379
-74.005115,125,20.342222
-95.753469,118,20.406194
-96.693203,192,20.524441
-112.061687,124,20.59295
-128.934397,136,20.674648
-89.730444,126,20.748598
-110.055126,149,20.834362
-88.00129,84,20.879591
-52.046565,131,20.959815
-123.834207,111,21.025799
-115.870446,93,21.079467
-141.031243,99,21.135742
-100.678833,135,21.217972
-69.022778,135,21.293159
-78.804769,83,21.345518
-119.639176,101,21.401772
-146.130148,103,21.471415
-52.40182,121,21.54266
-97.702367,101,21.597541
-65.066863,116,21.663534
-97.071425,148,21.75354
-149.529591,118,21.821004
-27.693499,140,21.900058
-40.35244,92,21.965092
-68.458204,63,22.009118
-96.507359,132,22.085024
-108.106962,84,22.137894
-33.479698,72,22.175778
-2.551759,161,22.288681
-335.870021,168,22.414542
-162.580355,125,22.492724
-47.258321,142,22.586634
-72.129993,90,22.650122
-82.579825,136,22.7419
23.838881,170,22.850727
-85.025005,187,22.971829
-104.805933,137,23.062811
-14.829889,95,23.130173
-77.604575,107,23.196948
-49.550664,130,23.278939
-88.383659,93,23.341456
-67.224833,116,23.4061
-66.476561,106,23.469067
-50.78006,88,23.519842
-109.807258,124,23.59676
-116.416303,85,23.64974
-115.827994,96,23.702854
-68.723937,93,23.759242
-119.252126,131,23.833679
11.432803,104,23.892565
-70.721787,110,23.955378
-116.673331,104,24.01381
-128.932648,95,24.070067
-2.795716,128,24.141759
-48.051523,115,24.203175
-128.689424,124,24.273624
-11.16363,137,24.358273
-63.994622,119,24.422663
-69.072368,104,24.483289
-35.676428,106,24.551217
-125.088129,98,24.607078
-56.931155,97,24.662902
-10.269214,163,24.754786
-97.226746,114,24.821993
-66.310421,182,24.931204
-99.428428,104,24.995188
-97.059714,90,25.04467
-158.633135,158,25.131363
-79.965461,121,25.202792
-109.005195,117,25.271174
-90.24432,105,25.333958
-16.520266,143,25.412357
-97.59685,99,25.472322
0.647263,112,25.535229
-41.576353,100,25.590558
-131.989085,150,25.673642
-9.512556,164,25.767951
-110.185387,158,25.859377
-60.050788,75,25.900589
-149.245722,91,25.952945
-47.944378,167,26.053946
-81.186954,129,26.126544
-86.500642,97,26.180668
-47.964684,81,26.227984
-74.455123,106,26.292585
