#{"t_start": 1768085098.483219, "env_id": "LunarLander-v3"}
r,l,t
144.44584,407,50.450629
-40.98707,360,50.763186
233.366361,565,51.215953
-71.23009,169,51.358457
-102.670937,468,51.759283
-50.687562,150,51.886521
-101.236604,236,52.073778
-35.434926,139,52.180208
220.814356,631,52.656446
-69.054171,340,52.924835
-56.500365,182,53.081554
-90.767079,498,53.473644
-90.594344,104,53.553885
-46.492852,176,53.69582
-42.575053,316,53.95774
-105.41462,389,54.258413
-72.734799,406,54.584804
222.72872,522,55.040165
191.734663,678,55.602067
24.435355,343,55.872345
-24.132498,257,56.079581
-60.681719,150,56.196275
-71.034075,272,56.414141
182.468154,568,56.854091
162.476286,363,57.136134
209.066265,259,57.354411
-27.081563,133,57.461397
-46.746872,156,57.581563
-64.261975,174,57.715785
-10.680822,84,57.779431
181.268019,301,58.02303
-82.214076,329,58.288715
-85.890268,282,58.534623
-87.498545,446,58.901338
-67.398342,116,58.994959
-119.023894,191,59.167518
-71.902716,281,59.393466
-106.476415,156,59.517292
-100.908863,623,60.011273
7.846121,318,60.264468
185.356917,682,60.819366
-61.919831,120,60.932113
192.086453,420,61.267794
-27.311079,260,61.482286
157.466457,383,61.836548
196.357694,832,62.61405
-5.982995,367,62.917987
164.924729,591,63.386794
-48.100965,71,63.44441
-39.673638,240,63.638712
261.268225,367,63.969179
125.453222,360,64.257086
-36.465172,297,64.504363
-51.122766,363,64.807838
206.621336,340,65.087962
-54.217245,222,65.264381
-129.46256,151,65.387652
2.689575,226,65.563043
-97.101614,138,65.701938
190.550224,359,65.989916
-87.318667,279,66.210475
-36.341074,196,66.368849
190.509532,400,66.694044
132.541669,676,67.251731
-62.753467,132,67.356464
-82.827715,272,67.579561
-0.163025,232,67.768852
167.617877,546,68.199505
-76.464509,270,68.41037
-85.993223,235,68.614964
139.257373,453,69.013348
144.774379,471,69.393594
-29.866312,286,69.615708
53.585722,850,70.29609
227.183069,378,70.601295
-21.927939,370,70.893961
-87.197821,383,71.201959
-6.836594,126,71.29926
159.720992,268,71.518214
1.3062,188,71.67678
208.365099,398,71.997351
-13.009188,305,72.250111
199.664698,431,72.63071
7.910935,216,72.829045
-23.993111,129,72.929755
-49.739507,303,73.17182
-47.059998,391,73.502884
-75.604181,547,73.944195
175.895255,363,74.244753
-48.001543,320,74.50438
155.181153,271,74.736604
-118.012113,398,75.058238
156.744492,603,75.559389
-25.260819,236,75.751338
-63.770657,136,75.862567
-98.104199,394,76.18057
194.442264,527,76.606673
160.152823,300,76.852095
121.206417,619,77.352551
-127.767092,595,77.831347
97.307361,671,78.397748
-61.540544,385,78.730837
-1.164268,249,78.930767
-87.70545,526,79.349403
-46.733206,630,79.868742
173.638478,691,80.476387
-63.293536,481,80.859539
216.143388,362,81.174556
-3.148502,256,81.416134
272.832968,362,81.726192
249.169653,372,82.056367
166.946483,634,82.60149
72.024737,1000,83.436344
-53.163601,214,83.604657
232.236603,424,84.028109
47.043333,266,84.258486
191.215062,524,84.696175
262.7371,389,85.015685
-87.343628,850,85.706026
160.210682,959,86.52418
-91.636226,629,87.023819
293.464501,287,87.248909
150.203762,818,87.935756
270.298951,416,88.267707
198.461137,473,88.662401
160.075853,729,89.258582
190.561998,582,89.745259
255.767456,386,90.051468
38.725716,1000,90.863255
11.573105,1000,91.678801
162.699908,776,92.317763
-37.653,1000,93.121351
246.559699,562,93.569002
116.749312,798,94.198569
-26.092111,1000,94.996385
201.92661,629,95.528668
24.144698,1000,96.323222
135.849458,987,97.127343
226.320625,606,97.611007
-56.611638,1000,98.408125
226.423522,609,98.910986
174.71472,858,99.59332
-25.858048,1000,100.423242
32.669377,1000,101.234875
205.70424,808,101.884128
173.936143,910,102.632836
235.349572,546,103.082011
-30.737373,1000,103.9303
161.604546,857,104.617268
130.068534,959,105.396219
176.189526,737,106.028688
130.102057,973,106.828665
41.193436,1000,107.630796
168.368577,863,108.335829
240.403302,591,108.837694
234.435402,590,109.329501
184.401111,743,109.932073
207.083018,737,110.531705
190.973252,786,111.194123
-18.030934,1000,112.019116
149.081301,961,112.807428
-30.598777,1000,113.598395
-17.019872,1000,114.410666
192.898247,581,114.894861
111.194277,833,115.5792
224.96149,735,116.171571
146.924539,839,116.856228
97.477893,950,117.632866
290.951366,367,117.927289
-58.664968,1000,118.739302
-68.922789,1000,119.569361
167.095487,708,120.183057
268.796306,473,120.569469
156.721746,827,121.251529
75.350841,984,122.116492
219.592123,658,122.70491
199.93382,571,123.174678
158.62446,802,123.818618
180.188165,507,124.225013
198.675589,601,124.701428
146.134163,484,125.097202
215.776378,461,125.516857
194.140307,688,126.123158
222.775674,606,126.673554
234.89432,555,127.122228
182.975201,719,127.71144
209.473712,661,128.264214
199.168478,566,128.760766
149.11288,505,129.206997
229.960136,466,129.636889
72.881367,1000,130.498163
212.066387,415,130.936217
185.845485,520,131.49321
220.669905,498,132.009454
177.271937,657,132.596506
193.079047,627,133.16592
